chi_gene	Ensembl Gene ID	Gene Start (bp)	Gene End (bp)	Associated Gene Name	Description	Chromosome Name
CARHR108570	AT2G18090	7864314	7867766	AT2G18090	PHD finger, SWIB/MDM2 and GYF domain-containing protein [Source:EMBL;Acc:AEC06725.1]	2
CARHR108580	AT2G18100	7867828	7871642	AT2G18100	uncharacterized protein [Source:EMBL;Acc:AEC06726.1]	2
CARHR108610	AT2G18120	7876615	7877681	SRS4	SHI-related sequence 4 protein [Source:EMBL;Acc:AEC06728.1]	2
CARHR108620	AT1G52940	19716402	19723725	PAP5	purple acid phosphatase 5 [Source:EMBL;Acc:AEE32870.1]	1
CARHR108630	AT2G18150	7892133	7893653	AT2G18150	peroxidase 15 [Source:EMBL;Acc:AEC06731.1]	2
CARHR108640	AT2G18160	7898012	7899242	ATBZIP2	basic leucine-zipper 2 [Source:EMBL;Acc:AEC06732.1]	2
CARHR108690	AT2G18170	7907804	7909923	ATMPK7	mitogen-activated protein kinase 7 [Source:EMBL;Acc:AEC06734.1]	2
CARHR108700	AT2G18180	7911054	7913695	AT2G18180	sec.4-like phosphatidylinositol transfer-like protein [Source:EMBL;Acc:AEC06735.1]	2
CARHR108730	AT5G42460	16979773	16981115	AT5G42460	F-box and associated interaction domain-containing protein [Source:EMBL;Acc:AED94813.1]	5
CARHR108750	AT2G18220	7928024	7931851	AT2G18220	nucleolar complex protein 2-like protein [Source:EMBL;Acc:AEC06741.1]	2
CARHR108760	AT2G18230	7931923	7934329	AtPPa2	soluble inorganic pyrophosphatase 2 [Source:EMBL;Acc:AEC06742.1]	2
CARHR108770	AT2G18240	7935285	7936721	AT2G18240	Rer1-like protein [Source:EMBL;Acc:AEC06744.1]	2
CARHR108780	AT2G18245	7937282	7939600	AT2G18245	alpha/beta-hydrolase domain-containing protein [Source:EMBL;Acc:AEC06745.1]	2
CARHR108820	AT2G18250	7939907	7941678	ATCOAD	phosphopantetheine adenylyltransferase [Source:EMBL;Acc:AEC06746.1]	2
CARHR108860	AT2G18260	7942153	7943388	SYP112	syntaxin-112 [Source:EMBL;Acc:AEC06747.1]	2
CARHR108870	AT2G18280	7945998	7948468	TLP2	Tubby-like F-box protein 2 [Source:EMBL;Acc:AEC06749.1]	2
CARHR108880	AT2G18290	7948306	7950329	APC10	anaphase-promoting complex subunit 10 [Source:EMBL;Acc:AEC06751.1]	2
CARHR108890	AT2G18300	7952442	7954739	AT2G18300	transcription factor bHLH64 [Source:EMBL;Acc:AEC06753.1]	2
CARHR108900	AT4G20450	11024054	11029008	AT4G20450	putative LRR receptor-like serine/threonine-protein kinase [Source:EMBL;Acc:AEE84334.1]	4
CARHR108910	AT2G18328	7964393	7964909	ATRL4	RAD-like 4 protein [Source:EMBL;Acc:AEC06756.1]	2
CARHR108920	AT2G18330	7965635	7969105	AT2G18330	AAA-type ATPase-like protein [Source:EMBL;Acc:AEC06757.1]	2
CARHR108930	AT2G18340	7969320	7971114	AT2G18340	late embryogenesis abundant domain-containing protein [Source:EMBL;Acc:AEC06759.1]	2
CARHR108940	AT2G18350	7971017	7972081	HB24	homeobox protein 24 [Source:EMBL;Acc:AEC06760.1]	2
CARHR108950	AT2G18360	7976712	7979377	AT2G18360	esterase/lipase domain-containing protein [Source:EMBL;Acc:AEC06761.1]	2
CARHR108960	AT2G18370	7980625	7981758	AT2G18370	non-specific lipid-transfer protein 8 [Source:EMBL;Acc:AEC06762.1]	2
CARHR108970	AT2G18380	7982868	7984096	GATA20	GATA transcription factor 20 [Source:EMBL;Acc:AEC06763.1]	2
CARHR108980	AT3G43610	15517680	15524087	AT3G43610	Spc97 / Spc98 family of spindle pole body (SBP) component [Source:EMBL;Acc:AEE77813.1]	3
CARHR108990	AT2G18390	7988165	7989525	HAL	ADP-ribosylation factor-like 2 [Source:EMBL;Acc:AEC06764.1]	2
CARHR109000	AT2G18400	7989476	7990586	AT2G18400	large subunit ribosomal protein L6 [Source:EMBL;Acc:AEC06765.1]	2
CARHR109010	AT2G18410	7990746	7992774	AT2G18410	uncharacterized protein [Source:EMBL;Acc:AEC06767.1]	2
CARHR109020	AT2G18420	7993801	7994554	AT2G18420	Gibberellin-regulated family protein [Source:EMBL;Acc:AEC06768.1]	2
CARHR109040	AT2G18450	7997392	8000804	SDH1-2	succinate dehydrogenase [ubiquinone] flavoprotein subunit 2 [Source:EMBL;Acc:AEC06769.1]	2
CARHR109050	AT2G18460	8001320	8002998	LCV3	protein like-COV 3 [Source:EMBL;Acc:AEC06770.1]	2
CARHR109060	AT2G18465	8002891	8004844	AT2G18465	chaperone DnaJ-domain containing protein [Source:EMBL;Acc:AEC06771.1]	2
CARHR109070	AT2G18470	8005285	8008052	PERK4	roline-rich extensin-like receptor kinase 4 [Source:EMBL;Acc:AEC06772.1]	2
CARHR109080	AT2G18480	8009323	8011255	AT2G18480	putative polyol transporter 3 [Source:EMBL;Acc:AEC06773.1]	2
CARHR109110	AT2G18500	8027034	8028251	ATOFP7	ovate family protein 7 [Source:EMBL;Acc:AEC06775.1]	2
CARHR109120	AT2G18510	8031182	8033619	emb2444	splicing factor 3B subunit 4 [Source:EMBL;Acc:AEC06776.1]	2
CARHR109130	AT2G18520	8033882	8035363	AT2G18520	pentatricopeptide repeat-containing protein [Source:EMBL;Acc:AEC06777.1]	2
CARHR109140	AT2G18540	8042382	8045008	AT2G18540	RmlC-like cupin-like protein [Source:EMBL;Acc:AEC06779.1]	2
CARHR109160	AT2G18550	8049663	8051213	ATHB21	homeobox-leucine zipper protein ATHB-21 [Source:EMBL;Acc:AEC06780.1]	2
CARHR109180	AT2G18590	8069945	8072866	AT2G18590	major facilitator protein [Source:EMBL;Acc:AEC06783.1]	2
CARHR109200	AT2G18600	8073200	8074982	AT2G18600	ubiquitin-conjugating enzyme E2 M [Source:EMBL;Acc:AEC06784.1]	2
CARHR109210	AT2G18620	8078288	8079360	AT2G18620	geranylgeranyl diphosphate synthase 7 [Source:EMBL;Acc:AEC06786.1]	2
CARHR109220	AT2G18630	8080503	8082698	AT2G18630	uncharacterized protein [Source:EMBL;Acc:AEC06787.1]	2
CARHR109230	AT2G18640	8083740	8084888	GGPS4	geranylgeranyl pyrophosphate synthase 3 [Source:EMBL;Acc:AEC06788.1]	2
CARHR109240	AT2G18650	8086860	8088131	MEE16	putative RING-H2 finger protein ATL49 [Source:EMBL;Acc:AEC06789.1]	2
CARHR109250	AT2G18660	8090658	8091656	PNP-A	EG45-like domain-containing protein 2 [Source:EMBL;Acc:AEC06790.1]	2
CARHR109260	AT2G18670	8093220	8095729	AT2G18670	RING-H2 finger protein ATL56 [Source:EMBL;Acc:AEC06791.1]	2
CARHR109270	AT2G18690	8097420	8098827	AT2G18690	uncharacterized protein [Source:EMBL;Acc:AEC06794.1]	2
CARHR109290	AT2G18700	8109043	8112010	TPS11	putative alpha,alpha-trehalose-phosphate synthase [UDP-forming] 11 [Source:EMBL;Acc:AEC06795.1]	2
CARHR109300	AT2G18710	8112084	8114485	SCY1	Preprotein translocase subunit secY [Source:EMBL;Acc:AEC06796.1]	2
CARHR109320	AT2G18730	8118830	8121925	ATDGK3	diacylglycerol kinase 3 [Source:EMBL;Acc:AEC06799.1]	2
CARHR109330	AT4G30330	14836548	14838020	AT4G30330	small nuclear ribonucleoprotein E [Source:EMBL;Acc:AEE85753.1]	4
CARHR109340	AT2G18750	8125473	8128673	AT2G18750	Calmodulin-binding protein [Source:EMBL;Acc:AEC06804.1]	2
CARHR109350	AT4G34131	16343057	16344818	UGT73B3	UDP-glucosyl transferase 73B3 [Source:EMBL;Acc:AEE86327.1]	4
CARHR109360	AT2G18760	8129154	8133502	CHR8	DNA excision repair protein E [Source:EMBL;Acc:AEC06805.1]	2
CARHR109370	AT2G18770	8134639	8136560	AT2G18770	P-loop containing nucleoside triphosphate hydrolase-like protein [Source:EMBL;Acc:AEC06806.1]	2
CARHR109390	AT2G18800	8144912	8146265	XTH21	xyloglucan:xyloglucosyl transferase [Source:EMBL;Acc:AEC06809.1]	2
CARHR109400	AT2G18840	8158198	8160091	AT2G18840	Integral membrane Yip1-like protein [Source:EMBL;Acc:AEC06812.1]	2
CARHR109410	AT2G18850	8160703	8163750	AT2G18850	SET domain-containing protein [Source:EMBL;Acc:AEC06814.1]	2
CARHR109430	AT2G18860	8164241	8165974	AT2G18860	Syntaxin/t-SNARE family protein [Source:EMBL;Acc:AEC06816.1]	2
CARHR109440	AT2G18876	8169546	8172523	AT2G18876	Afadin/alpha-actinin-binding protein [Source:EMBL;Acc:AEC06819.1]	2
CARHR109450	AT2G18890	8183890	8186796	AT2G18890	protein kinase-like protein [Source:EMBL;Acc:AEC06822.1]	2
CARHR109460	AT2G18900	8188257	8192489	AT2G18900	transducin/WD-40 repeat-containing protein [Source:EMBL;Acc:AEC06823.1]	2
CARHR109470	AT2G18910	8192708	8194338	AT2G18910	hydroxyproline-rich glycoprotein-like protein [Source:EMBL;Acc:AEC06824.1]	2
CARHR109480	AT2G18940	8203730	8206395	AT2G18940	pentatricopeptide repeat-containing protein [Source:EMBL;Acc:AEC06830.1]	2
CARHR109490	AT2G18950	8207342	8210463	HPT1	homogentisate phytyltransferase 1 [Source:EMBL;Acc:AEC06831.1]	2
CARHR109500	AT2G18960	8221631	8227622	AHA1	H(+)-ATPase 1 [Source:EMBL;Acc:AEC06832.1]	2
CARHR109510	AT2G18969	8229047	8229574	AT2G18969	uncharacterized protein [Source:EMBL;Acc:AEC06833.1]	2
CARHR109520	AT2G19000	8241104	8241784	AT2G19000	uncharacterized protein [Source:EMBL;Acc:AEC06837.1]	2
CARHR109530	AT2G19010	8243089	8245378	AT2G19010	GDSL esterase/lipase [Source:EMBL;Acc:AEC06838.1]	2
CARHR109570	AT2G19050	8253416	8255534	AT2G19050	GDSL esterase/lipase [Source:EMBL;Acc:AEC06843.1]	2
CARHR109590	AT2G19070	8260038	8261985	SHT	spermidine hydroxycinnamoyl transferase [Source:EMBL;Acc:AEC06845.1]	2
CARHR109600	AT2G19080	8262750	8264964	AT2G19080	metaxin-related protein [Source:EMBL;Acc:AEC06846.1]	2
CARHR109610	AT2G19090	8265178	8267879	AT2G19090	uncharacterized protein [Source:EMBL;Acc:AEC06847.1]	2
CARHR109620	AT2G19110	8278881	8286445	HMA4	Cd2+/Zn2+-exporting ATPase [Source:EMBL;Acc:AEC06848.1]	2
CARHR109630	AT2G19120	8287036	8292498	AT2G19120	tRNA-splicing endonuclease positive effector-related protein [Source:EMBL;Acc:AEC06849.1]	2
CARHR109640	AT2G19160	8309816	8314008	AT2G19160	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein [Source:EMBL;Acc:AEC06853.1]	2
CARHR109650	AT2G19170	8314005	8318596	SLP3	subtilisin-like serine protease 3 [Source:EMBL;Acc:AEC06854.1]	2
CARHR109660	AT2G19180	8324716	8325965	AT2G19180	uncharacterized protein [Source:EMBL;Acc:AEC06855.1]	2
CARHR109670	AT2G19190	8326049	8329944	FRK1	senescence-induced receptor-like serine/threonine-protein kinase [Source:EMBL;Acc:AEC06856.1]	2
CARHR109680	AT2G19230	8343452	8348431	AT2G19230	Leucine-rich repeat transmembrane protein kinase protein [Source:EMBL;Acc:AEC06859.1]	2
CARHR109690	AT2G19210	8335639	8339307	AT2G19210	putative receptor-like protein kinase [Source:EMBL;Acc:AEC06857.1]	2
CARHR109700	AT2G19240	8349048	8352562	AT2G19240	RabGAP/TBC domain-containing protein [Source:EMBL;Acc:AEC06860.1]	2
CARHR109720	AT2G19260	8356141	8360169	AT2G19260	RING/FYVE/PHD zinc finger-containing protein [Source:EMBL;Acc:AEC06861.1]	2
CARHR109730	AT2G19270	8360189	8361924	AT2G19270	uncharacterized protein [Source:EMBL;Acc:AEC06862.1]	2
CARHR109740	AT2G19280	8362435	8366144	AT2G19280	pentatricopeptide repeat-containing protein [Source:EMBL;Acc:AEC06864.1]	2
CARHR109750	AT2G19310	8369794	8370406	AT2G19310	HSP20-like chaperone [Source:EMBL;Acc:AEC06867.1]	2
CARHR109760	AT2G19320	8370691	8371108	AT2G19320	uncharacterized protein [Source:EMBL;Acc:AEC06868.1]	2
CARHR109780	AT2G19330	8372947	8374453	PIRL6	ras group-related protein LRR 6 [Source:EMBL;Acc:AEC06869.1]	2
CARHR109790	AT2G19340	8373766	8375939	AT2G19340	Oligosaccharyltransferase complex/magnesium transporter family protein [Source:EMBL;Acc:AEC06871.1]	2
CARHR109800	AT2G19350	8376202	8377343	AT2G19350	uncharacterized protein [Source:EMBL;Acc:AEC06872.1]	2
CARHR109810	AT2G19360	8378664	8383374	AT2G19360	uncharacterized protein [Source:EMBL;Acc:AEC06873.1]	2
CARHR109820	AT2G19380	8383856	8386604	AT2G19380	RNA recognition motif (RRM)-containing protein [Source:EMBL;Acc:AEC06874.1]	2
CARHR109830	AT2G19385	8387035	8388712	AT2G19385	zinc ion binding protein [Source:EMBL;Acc:AEC06875.1]	2
CARHR109840	AT2G19390	8389800	8397862	AT2G19390	uncharacterized protein [Source:EMBL;Acc:AEC06876.1]	2
CARHR109850	AT2G19400	8399157	8402601	AT2G19400	cAMP-dependent, cGMP-dependent and protein kinase C-like protein [Source:EMBL;Acc:AEC06877.1]	2
CARHR109860	AT2G19410	8404901	8409012	AT2G19410	U-box domain-containing protein 34 [Source:EMBL;Acc:AEC06878.1]	2
CARHR109870	AT2G19430	8415159	8417960	DWA1	THO complex subunit 6 [Source:EMBL;Acc:AEC06880.1]	2
CARHR109880	AT2G19440	8418164	8419806	AT2G19440	beta-1,3-glucanase-like protein [Source:EMBL;Acc:AEC06881.1]	2
CARHR109890	AT2G19450	8426206	8429736	ATDGAT	diacylglycerol O-acyltransferase 1 [Source:EMBL;Acc:AEC06882.1]	2
CARHR109900	AT2G19460	8431482	8432105	AT2G19460	uncharacterized protein [Source:EMBL;Acc:AEC06883.1]	2
CARHR109910	AT2G19470	8433611	8436553	ckl5	casein kinase I-like 5 [Source:EMBL;Acc:AEC06884.1]	2
CARHR109920	AT2G19480	8438393	8441384	NFA2	nucleosome assembly protein 1;2 [Source:EMBL;Acc:AEC06887.1]	2
CARHR109930	AT2G19490	8441527	8444170	AT2G19490	DNA repair protein recA-like 3 [Source:EMBL;Acc:AEC06888.1]	2
CARHR109940	AT2G19500	8444204	8447355	CKX2	cytokinin dehydrogenase 2 [Source:EMBL;Acc:AEC06889.1]	2
CARHR109950	AT2G19520	8455936	8459525	ATMSI4	histone-binding protein RBBP4 [Source:EMBL;Acc:AEC06891.1]	2
CARHR109960	AT2G19530	8459947	8461715	AT2G19530	uncharacterized protein [Source:EMBL;Acc:AEC06892.1]	2
CARHR109970	AT2G19540	8461757	8464534	AT2G19540	transducin-like protein [Source:EMBL;Acc:AEC06893.1]	2
CARHR109990	AT2G19560	8465768	8469116	EER5	proteasome-like protein [Source:EMBL;Acc:AEC06895.1]	2
CARHR110010	AT2G19570	8470374	8471644	CDA1	cytidine deaminase 1 [Source:EMBL;Acc:AEC06896.1]	2
CARHR110020	AT2G19580	8472134	8475153	TET2	tetraspanin2 [Source:EMBL;Acc:AEC06897.1]	2
CARHR110030	AT2G19590	8475966	8477502	ATACO1	aminocyclopropanecarboxylate oxidase [Source:EMBL;Acc:AEC06898.1]	2
CARHR110050	AT2G19600	8479198	8483830	ATKEA4	K(+) efflux antiporter 4 [Source:EMBL;Acc:AEC06899.1]	2
CARHR110060	AT2G19620	8485991	8488720	NDL3	N-MYC downregulated-like 3 protein [Source:EMBL;Acc:AEC06903.1]	2
CARHR110090	AT2G19660	8496720	8498708	AT2G19660	cysteine/histidine-rich C1 domain-containing protein [Source:EMBL;Acc:AEC06909.1]	2
CARHR110100	AT2G04680	1640140	1642209	AT2G04680	cysteine/histidine-rich C1 domain-containing protein [Source:EMBL;Acc:AEC05855.1]	2
CARHR110120	AT2G19670	8499086	8501181	ATPRMT1A	protein arginine N-methyltransferase 1 [Source:EMBL;Acc:AEC06910.1]	2
CARHR110130	AT2G19680	8501325	8502831	AT2G19680	F-type H+-transporting ATPase subunit g [Source:EMBL;Acc:AEC06912.1]	2
CARHR110140	AT2G19690	8503217	8504821	PLA2-BETA	phospholipase A2-beta [Source:EMBL;Acc:AEC06913.1]	2
CARHR110160	AT2G19710	8506130	8510081	AT2G19710	Regulator of Vps4 activity in the MVB pathway protein [Source:EMBL;Acc:AEC06916.1]	2
CARHR110170	AT2G19720	8510020	8511339	rps15ab	40S ribosomal protein S15a-2 [Source:EMBL;Acc:AEC06917.1]	2
CARHR110180	AT2G19730	8511507	8513221	AT2G19730	60S ribosomal protein L28-1 [Source:EMBL;Acc:AEC06920.1]	2
CARHR110190	AT2G19740	8513513	8514519	AT2G19740	60S ribosomal protein L31-1 [Source:EMBL;Acc:AEC06921.1]	2
CARHR110200	AT2G19760	8516787	8518167	PFN1	profilin 1 [Source:EMBL;Acc:AEC06923.1]	2
CARHR110230	AT2G19770	8519638	8521192	PRF5	profilin 5 [Source:EMBL;Acc:AEC06924.1]	2
CARHR110240	AT2G19780	8522678	8525093	AT2G19780	leucine-rich repeat-containing protein [Source:EMBL;Acc:AEC06925.1]	2
CARHR110250	AT2G19790	8527231	8528533	AT2G19790	AP-4 complex subunit sigma [Source:EMBL;Acc:AEC06926.1]	2
CARHR110260	AT2G19800	8530896	8533508	MIOX2	inositol oxygenase [Source:EMBL;Acc:AEC06927.1]	2
CARHR110270	AT2G19810	8550313	8551858	AT2G19810	zinc finger CCCH domain-containing protein 20 [Source:EMBL;Acc:AEC06929.1]	2
CARHR110280	AT2G19830	8557729	8559741	SNF7.2	vacuolar protein sorting-associated protein 32-1 [Source:EMBL;Acc:AEC06931.1]	2
CARHR110290	AT2G19860	8570750	8574000	HXK2	hexokinase 2 [Source:EMBL;Acc:AEC06935.1]	2
CARHR110310	AT2G19870	8575878	8577947	AT2G19870	tRNA/rRNA methyltransferase (SpoU)-like protein [Source:EMBL;Acc:AEC06936.1]	2
CARHR110320	AT2G19880	8581358	8585478	AT2G19880	nucleotide-diphospho-sugar transferase domain-containing protein [Source:EMBL;Acc:AEC06937.1]	2
CARHR110330	AT2G19900	8591899	8595478	ATNADP-ME1	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [Source:EMBL;Acc:AEC06941.1]	2
CARHR110370	AT2G19930	8607340	8612441	AT2G19930	RNA-dependent RNA polymerase-like protein [Source:EMBL;Acc:AEC06944.1]	2
CARHR110380	AT2G19940	8612926	8616018	AT2G19940	N-acetyl-gamma-glutamyl-phosphate reductase [Source:EMBL;Acc:AEC06946.1]	2
CARHR110390	AT2G19950	8616073	8621435	GC1	golgin candidate 1 [Source:EMBL;Acc:AEC06948.1]	2
CARHR110400	AT2G19970	8623730	8624476	AT2G19970	putative pathogenesis-related protein [Source:EMBL;Acc:AEC06950.1]	2
CARHR110410	AT2G19990	8629984	8630688	PR-1-LIKE	pathogenesis-related protein-1-like protein [Source:EMBL;Acc:AEC06952.1]	2
CARHR110420	AT2G20000	8632078	8637300	HBT	cell division cycle protein 27-B [Source:EMBL;Acc:AEC06953.1]	2
CARHR110480	AT2G20010	8637747	8641556	AT2G20010	uncharacterized protein [Source:EMBL;Acc:AEC06954.1]	2
CARHR110500	AT2G20020	8644386	8647191	CAF1	CRS2-associated factor 1 [Source:EMBL;Acc:AEC06956.1]	2
CARHR110510	AT2G20030	8647813	8648985	AT2G20030	putative RING-H2 finger protein ATL12 [Source:EMBL;Acc:AEC06957.1]	2
CARHR110520	AT2G20050	8649434	8654450	AT2G20050	protein phosphatase 2C and cyclic nucleotide-binding/kinase domain-containing protein [Source:EMBL;Acc:AEC06958.1]	2
CARHR110570	AT2G20060	8659043	8661489	AT2G20060	large subunit ribosomal protein L4 [Source:EMBL;Acc:AEC06960.1]	2
CARHR110580	AT2G20080	8662930	8665026	AT2G20080	uncharacterized protein [Source:EMBL;Acc:AEC06962.1]	2
CARHR110610	AT2G20100	8678050	8682112	AT2G20100	transcription factor bHLH133 [Source:EMBL;Acc:AEC06965.1]	2
CARHR110630	AT2G20110	8684496	8687218	AT2G20110	Tesmin/TSO1-like CXC domain-containing protein [Source:EMBL;Acc:AEC06967.1]	2
CARHR110640	AT2G20120	8687354	8689476	COV1	uncharacterized protein [Source:EMBL;Acc:AEC06968.1]	2
CARHR110650	AT2G20140	8692700	8695084	AT2G20140	26S proteasome regulatory subunit 4-B [Source:EMBL;Acc:AEC06970.1]	2
CARHR110660	AT2G20142	8695374	8696643	AT2G20142	Toll-Interleukin-Resistance domain-containing protein [Source:EMBL;Acc:AEC06971.1]	2
CARHR110680	AT2G20180	8704024	8706900	PIL5	transcription factor PIF1 [Source:EMBL;Acc:AEC06978.1]	2
CARHR110690	AT2G20190	8711596	8719018	ATCLASP	CLIP-associated protein [Source:EMBL;Acc:AEC06980.1]	2
CARHR110700	AT2G20210	8721437	8725127	AT2G20210	leucine-rich repeats-ribonuclease inhibitor domain-containing protein [Source:EMBL;Acc:AEC06982.1]	2
CARHR110720	AT2G20230	8725541	8727742	AT2G20230	Tetraspanin family protein [Source:EMBL;Acc:AEC06983.1]	2
CARHR110730	AT2G20240	8727626	8730500	AT2G20240	uncharacterized protein [Source:EMBL;Acc:AEC06984.1]	2
CARHR110740	AT2G20250	8733750	8736577	AT2G20250	uncharacterized protein [Source:EMBL;Acc:AEC06985.1]	2
CARHR110750	AT2G20270	8737705	8739677	AT2G20270	monothiol glutaredoxin-S12 [Source:EMBL;Acc:AEC06988.1]	2
CARHR110760	AT2G20260	8736734	8737767	PSAE-2	photosystem I reaction center subunit IV B [Source:EMBL;Acc:AEC06986.1]	2
CARHR110770	AT2G20280	8739911	8742349	AT2G20280	zinc finger CCCH domain-containing protein 21 [Source:EMBL;Acc:AEC06989.1]	2
CARHR110780	AT2G20290	8743275	8751878	XIG	myosin-like protein XIG [Source:EMBL;Acc:AEC06990.1]	2
CARHR110790	AT2G20300	8755925	8760222	ALE2	protein kinase domain-containing protein [Source:EMBL;Acc:AEC06991.1]	2
CARHR110800	AT2G20310	8761180	8763152	RIN13	RPM1 interacting protein 13 [Source:EMBL;Acc:AEC06992.1]	2
CARHR110830	AT3G06990	2206387	2208058	AT3G06990	cysteine/histidine-rich C1 domain-containing protein [Source:EMBL;Acc:AEE74485.1]	3
CARHR110850	AT2G20320	8766739	8772591	AT2G20320	DENN (AEX-3) domain-containing protein [Source:EMBL;Acc:AEC06993.1]	2
CARHR110860	AT2G20330	8772687	8775614	AT2G20330	WD40 domain-containing protein [Source:EMBL;Acc:AEC06994.1]	2
CARHR110870	AT2G20340	8779735	8782772	AT2G20340	Tyrosine decarboxylase 1 [Source:EMBL;Acc:AEC06995.1]	2
CARHR110880	AT2G20360	8785988	8789473	AT2G20360	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 9 [Source:EMBL;Acc:AEC06997.1]	2
CARHR110890	AT2G20362	8789740	8790358	AT2G20362	uncharacterized protein [Source:EMBL;Acc:AEC06998.1]	2
CARHR110900	AT2G20370	8791986	8794401	MUR3	xyloglucan galactosyltransferase KATAMARI1 [Source:EMBL;Acc:AEC06999.1]	2
CARHR110910	AT2G20390	8796283	8798218	AT2G20390	uncharacterized protein [Source:EMBL;Acc:AEC07002.1]	2
CARHR110920	AT2G20400	8799187	8801973	AT2G20400	myb-like HTH transcriptional regulator-like protein [Source:EMBL;Acc:AEC07003.1]	2
CARHR110960	AT2G20410	8802344	8804373	AT2G20410	RNA-binding ASCH domain protein [Source:EMBL;Acc:AEC07004.1]	2
CARHR110970	AT2G20420	8805453	8808120	AT2G20420	Succinyl-CoA ligase [GDP-forming] subunit beta [Source:EMBL;Acc:AEC07005.1]	2
CARHR110980	AT2G20430	8808667	8810200	RIC6	ROP-interactive CRIB motif-containing protein 6 [Source:EMBL;Acc:AEC07006.1]	2
CARHR110990	AT2G20440	8810739	8813644	AT2G20440	RabGAP/TBC domain-containing protein [Source:EMBL;Acc:AEC07008.1]	2
CARHR111000	AT2G20450	8813862	8815253	AT2G20450	60S ribosomal protein L14-1 [Source:EMBL;Acc:AEC07009.1]	2
CARHR111020	AT2G20470	8826277	8829497	AT2G20470	putative serine/threonine-protein kinase [Source:EMBL;Acc:AEC07013.1]	2
CARHR111030	AT2G20480	8830565	8831533	AT2G20480	uncharacterized protein [Source:EMBL;Acc:AEC07014.1]	2
CARHR111040	AT2G20490	8831716	8832916	NOP10	H/ACA ribonucleoprotein complex subunit 3-like protein [Source:EMBL;Acc:AEC07016.1]	2
CARHR111050	AT2G20495	8833165	8835263	AT2G20495	uncharacterized protein [Source:EMBL;Acc:AEC07018.1]	2
CARHR111060	AT2G20515	8838854	8839700	AT2G20515	uncharacterized protein [Source:EMBL;Acc:AEC07021.1]	2
CARHR111070	AT2G20520	8840663	8841461	FLA6	fasciclin-like arabinogalactan protein 6 [Source:EMBL;Acc:AEC07022.1]	2
CARHR111080	AT2G20530	8841972	8844000	PHB6	prohibitin 6 [Source:EMBL;Acc:AEC07024.1]	2
CARHR111100	AT2G20550	8845802	8847311	AT2G20550	HSP40/DnaJ peptide-binding protein [Source:EMBL;Acc:AEC07027.1]	2
CARHR111120	AT2G20540	8844160	8845764	MEF21	mitochondrial editing factor 21 [Source:EMBL;Acc:AEC07025.1]	2
CARHR111130	AT2G20562	8850207	8850929	AT2G20562	uncharacterized protein [Source:EMBL;Acc:AEC07029.1]	2
CARHR111140	AT2G20570	8855358	8857756	GPRI1	GBFs pro-rich region-interacting factor 1 [Source:EMBL;Acc:AEC07030.1]	2
CARHR111150	AT2G20580	8858988	8864865	RPN1A	26S proteasome regulatory subunit N1 [Source:EMBL;Acc:AEC07032.1]	2
CARHR111160	AT2G20585	8865098	8866769	NFD6	nuclear fusion defective 6 [Source:EMBL;Acc:AEC07035.1]	2
CARHR111170	AT2G20590	8867117	8869256	AT2G20590	reticulon-like protein B17 [Source:EMBL;Acc:AEC07037.1]	2
CARHR111240	AT2G20610	8877960	8880388	RTY1	superroot 1 protein [Source:EMBL;Acc:AEC07042.1]	2
CARHR111280	AT2G20630	8896912	8899898	PIA1	putative protein phosphatase 2C 20 [Source:EMBL;Acc:AEC07050.1]	2
CARHR111290	AT2G20635	8900410	8903384	AT2G20635	catalytic domain of protein kinase and Mad3-BUB1-I domain-containing protein [Source:EMBL;Acc:AEC07051.1]	2
CARHR111300	AT2G20650	8903637	8907339	AT2G20650	RING/U-box domain-containing protein [Source:EMBL;Acc:AEC07053.1]	2
CARHR111310	AT2G20670	8911860	8913534	AT2G20670	uncharacterized protein [Source:EMBL;Acc:AEC07055.1]	2
CARHR111320	AT2G20680	8920467	8923173	MAN2	mannan endo-1,4-beta-mannosidase 2 [Source:EMBL;Acc:AEC07056.1]	2
CARHR111330	AT2G20690	8923305	8924974	AT2G20690	riboflavin synthase alpha chain [Source:EMBL;Acc:AEC07057.1]	2
CARHR111340	AT2G20700	8924894	8925804	LLG2	LORELEI-like glucosylphosphatidylinositol-anchored protein 2 [Source:EMBL;Acc:AEC07058.1]	2
CARHR111350	AT2G20710	8926006	8927844	AT2G20710	pentatricopeptide repeat-containing protein [Source:EMBL;Acc:AEC07060.1]	2
CARHR111360	AT2G20720	8927822	8930112	AT2G20720	pentatricopeptide repeat-containing protein [Source:EMBL;Acc:AEC07061.1]	2
CARHR111400	AT2G20725	8933571	8935496	AT2G20725	CAAX amino terminal protease family protein [Source:EMBL;Acc:AEC07062.1]	2
CARHR111410	AT2G20740	8935607	8937512	AT2G20740	Tetraspanin family protein [Source:EMBL;Acc:AEC07063.1]	2
CARHR111420	AT2G20750	8941119	8942689	ATEXPB1	expansin B1 [Source:EMBL;Acc:AEC07066.1]	2
CARHR111430	AT2G20760	8942763	8945244	AT2G20760	Clathrin light chain protein [Source:EMBL;Acc:AEC07067.1]	2
